name, type, manufacturer, barcode, price
Frozen Pizza,Home Supplies,Klarbrunn,1150314561,159.16991233825684
Bagels,Office Supplies,Klarbrunn,1204229449,891.4387226104736
Bread,Food,Klarbrunn,1570416609,961.9901180267334
Cookies,Office Supplies,Klarbrunn,1309666865,219.67297792434692
Sparkling Water,Food,Klarbrunn,1876472988,143.75072717666626
Energy Drink,Food,Klarbrunn,1397068778,313.37249279022217
Soda,Personal Gadget,Klarbrunn,1959647652,12.764394283294678
Root Beer,Home Appliances,Klarbrunn,1805640450,61.76960468292236
Juice,Personal Gadget,Klarbrunn,1095115115,679.4500350952148
Toilet Paper,Food,Klarbrunn,1860913249,606.9329380989075
Tooth Brush,Personal Gadget,Klarbrunn,1846758557,400.576651096344
Mouthwash,Personal Gadget,Klarbrunn,1369524635,267.2637701034546
Toothpaste,Home Appliances,Klarbrunn,1490244583,632.6767206192017
Soap,Home Appliances,Klarbrunn,1682032734,116.04166030883789
Shampoo,Home Supplies,Klarbrunn,1091274099,260.85615158081055
Shower Gel,Home Appliances,Klarbrunn,1393358715,212.0266556739807
Dish Soap,Personal Gadget,Klarbrunn,1206134110,525.7368683815002
Towels,Personal Gadget,Klarbrunn,1569454880,70.57303190231323
Cutlery,Office Supplies,Klarbrunn,1817492735,384.81640815734863
Sanitizer,Personal Gadget,Klarbrunn,1490576282,75.97571611404419
Laundry Detergent,Home Supplies,Klarbrunn,1361913469,224.69490766525269
Fabric Softener,Office Supplies,Klarbrunn,1919877974,673.7247705459595
Dishwasher,Office Supplies,Klarbrunn,1594667364,500.09244680404663
Refrigerator,Food,Klarbrunn,1365384857,678.010106086731
TV,Home Supplies,Klarbrunn,1135570992,480.1828861236572
Sound System,Personal Gadget,Klarbrunn,1368722071,296.312153339386
Microwave,Home Supplies,Klarbrunn,1175872436,501.44773721694946
Oven,Home Supplies,Klarbrunn,1581018655,248.51226806640625
Electric Kettle,Home Appliances,Klarbrunn,1345377056,81.07608556747437
Coffee Maker,Personal Gadget,Klarbrunn,1971392046,960.0219130516052
Heater,Office Supplies,Klarbrunn,1751398366,761.0993981361389
Humidifier,Home Supplies,Klarbrunn,1543301658,382.4874758720398
Gaming Console,Home Appliances,Klarbrunn,1832715365,409.2739224433899
Pen,Personal Gadget,Klarbrunn,1136364935,765.2978301048279
Pencil,Office Supplies,Klarbrunn,1814115811,879.6525597572327
Notepad,Home Appliances,Klarbrunn,1384121496,218.17225217819214
Sticky Notes,Home Appliances,Klarbrunn,1107534425,868.3938980102539
Calendar,Home Appliances,Klarbrunn,1440503321,299.4087338447571
Planner,Office Supplies,Klarbrunn,1157104232,626.3331174850464
Highlighter,Food,Klarbrunn,1328829097,93.9493179321289
Sharpener,Personal Gadget,Klarbrunn,1656107492,0.00947713851928711
Notebook,Office Supplies,Klarbrunn,1497035372,346.3866114616394
Journal,Office Supplies,Klarbrunn,1227940181,361.15074157714844
Diary,Food,Klarbrunn,1562243283,550.6657361984253
Printer,Office Supplies,Klarbrunn,1030516607,98.12921285629272
Trashcan,Food,Klarbrunn,1117931298,412.9028916358948
Chair,Office Supplies,Klarbrunn,1049392943,931.8209886550903
Tape,Home Appliances,Klarbrunn,1569853028,566.9566988945007
Eraser,Food,Klarbrunn,1340252354,785.9390377998352
Iphone X,Food,La Croix,1114944869,682.7832460403442
Ipad Pro,Home Supplies,La Croix,1182876158,894.720733165741
Macbook Pro,Office Supplies,La Croix,1423974545,341.93843603134155
XPS 13,Personal Gadget,La Croix,1048548082,328.3960819244385
Noise Cancelling Series 2,Personal Gadget,La Croix,1217378262,17.747104167938232
Inspiron,Home Supplies,La Croix,1758856019,921.8446612358093
Macbook Air,Personal Gadget,La Croix,1509034593,772.6375460624695
Chips,Home Supplies,La Croix,1039542951,420.08548974990845
Milk,Personal Gadget,La Croix,1749666658,533.0870747566223
Yoghurt,Food,La Croix,1427517893,424.6782660484314
Cheese,Office Supplies,La Croix,1735814771,12.785553932189941
Chicken Breast,Office Supplies,La Croix,1767096097,809.8205924034119
Frozen Pizza,Home Supplies,La Croix,1908168865,94.38925981521606
Bagels,Home Supplies,La Croix,1193345220,751.0964274406433
Bread,Home Appliances,La Croix,1381406431,145.11311054229736
Cookies,Home Appliances,La Croix,1922049381,401.78704261779785
Sparkling Water,Food,La Croix,1704089060,805.0265908241272
Energy Drink,Personal Gadget,La Croix,1488865415,792.8428053855896
Soda,Personal Gadget,La Croix,1309789395,51.0362982749939
Root Beer,Home Appliances,La Croix,1461963691,407.60356187820435
Juice,Home Appliances,La Croix,1898243532,184.0410828590393
Toilet Paper,Personal Gadget,La Croix,1515669784,478.83981466293335
Tooth Brush,Food,La Croix,1477361839,19.636332988739014
Mouthwash,Food,La Croix,1035830001,714.4889235496521
Toothpaste,Home Supplies,La Croix,1543425830,270.1627016067505
Soap,Home Appliances,La Croix,1834915634,423.5251545906067
Shampoo,Office Supplies,La Croix,1308412866,502.0906925201416
Shower Gel,Home Appliances,La Croix,1805982833,881.7991018295288
Dish Soap,Office Supplies,La Croix,1071412366,330.0967812538147
Towels,Office Supplies,La Croix,1424870234,949.6058821678162
Cutlery,Office Supplies,La Croix,1737443356,688.2221102714539
Sanitizer,Office Supplies,La Croix,1420420650,81.51578903198242
Laundry Detergent,Home Supplies,La Croix,1214189904,197.84295558929443
Fabric Softener,Food,La Croix,1939658176,811.0654354095459
Dishwasher,Personal Gadget,La Croix,1458404276,258.5894465446472
Refrigerator,Food,La Croix,1420963914,857.8389883041382
TV,Office Supplies,La Croix,1432775299,526.6931056976318
Sound System,Personal Gadget,La Croix,1701225103,204.95641231536865
Microwave,Home Supplies,La Croix,1195336880,748.552143573761
Oven,Home Appliances,La Croix,1686158443,796.8567609786987
Electric Kettle,Office Supplies,La Croix,1942036691,396.687388420105
Coffee Maker,Personal Gadget,La Croix,1035632092,79.45418357849121
Heater,Office Supplies,La Croix,1614561508,449.9986171722412
Humidifier,Office Supplies,La Croix,1602557888,69.33552026748657
Gaming Console,Personal Gadget,La Croix,1866215097,787.691056728363
Pen,Home Supplies,La Croix,1925146961,320.845365524292
Pencil,Office Supplies,La Croix,1835477626,671.9348430633545
Notepad,Home Appliances,La Croix,1533996246,337.99368143081665
Sticky Notes,Home Appliances,La Croix,1537383376,401.8869400024414
Calendar,Personal Gadget,La Croix,1589200033,133.56679677963257
Planner,Food,La Croix,1365200446,482.8900098800659
Highlighter,Personal Gadget,La Croix,1815687186,705.193281173706
Sharpener,Office Supplies,La Croix,1457869540,199.36180114746094
Notebook,Personal Gadget,La Croix,1530123586,815.109372138977
Journal,Office Supplies,La Croix,1681674086,766.1011219024658
Diary,Home Supplies,La Croix,1938464192,217.8037166595459
Printer,Home Supplies,La Croix,1987710224,796.5970039367676
Trashcan,Personal Gadget,La Croix,1783695735,171.54330015182495
Chair,Home Supplies,La Croix,1620565413,532.6982736587524
Tape,Office Supplies,La Croix,1808201744,943.0609941482544
Eraser,Home Supplies,La Croix,1389488501,570.0575113296509
Iphone X,Personal Gadget,Perrier,1599861036,19.619345664978027
Ipad Pro,Office Supplies,Perrier,1183156352,958.6187601089478
Macbook Pro,Personal Gadget,Perrier,1966434279,782.5687527656555
XPS 13,Office Supplies,Perrier,1465450426,905.705451965332
Noise Cancelling Series 2,Home Appliances,Perrier,1545601625,577.8441429138184
Inspiron,Food,Perrier,1375616918,537.7370119094849
Macbook Air,Personal Gadget,Perrier,1440416446,1.1551380157470703
Chips,Food,Perrier,1655582857,540.147602558136
Milk,Office Supplies,Perrier,1069784565,61.623573303222656
Yoghurt,Personal Gadget,Perrier,1214455009,76.70480012893677
Cheese,Home Supplies,Perrier,1454344609,913.121223449707
Chicken Breast,Food,Perrier,1130374403,350.2581715583801
Frozen Pizza,Food,Perrier,1898912078,466.51381254196167
Bagels,Home Appliances,Perrier,1088603209,996.2535500526428
Bread,Home Supplies,Perrier,1578186076,290.4866337776184
Cookies,Home Appliances,Perrier,1108270950,265.5031681060791
Sparkling Water,Home Appliances,Perrier,1243053582,348.8142490386963
Energy Drink,Home Appliances,Perrier,1255516861,549.2188334465027
Soda,Food,Perrier,1016539219,836.1586928367615
Root Beer,Personal Gadget,Perrier,1355375075,200.822114944458
Juice,Food,Perrier,1682839236,394.18286085128784
Toilet Paper,Home Appliances,Perrier,1366821721,117.30539798736572
Tooth Brush,Food,Perrier,1647174160,499.52101707458496
Mouthwash,Personal Gadget,Perrier,1583729204,37.80961036682129
Toothpaste,Home Supplies,Perrier,1781247193,702.6482224464417
Soap,Food,Perrier,1568463655,706.6173553466797
Shampoo,Home Supplies,Perrier,1107380010,502.75832414627075
Shower Gel,Personal Gadget,Perrier,1254560205,718.0679440498352
Dish Soap,Food,Perrier,1918017257,12.340188026428223
Towels,Food,Perrier,1900976689,126.23822689056396
Cutlery,Food,Perrier,1695971917,693.3046579360962
Sanitizer,Office Supplies,Perrier,1114152839,454.9890160560608
Laundry Detergent,Home Supplies,Perrier,1579876314,534.4534516334534
Fabric Softener,Home Appliances,Perrier,1437400180,104.65073585510254
Dishwasher,Office Supplies,Perrier,1109786695,241.12194776535034
Refrigerator,Home Appliances,Perrier,1642558301,918.8527464866638
TV,Home Supplies,Perrier,1356361363,678.4066557884216
Sound System,Food,Perrier,1839539279,775.5470275878906
Microwave,Office Supplies,Perrier,1065723501,759.0869665145874
Oven,Home Appliances,Perrier,1479133246,5.014181137084961
Electric Kettle,Home Supplies,Perrier,1188878653,708.8524699211121
Coffee Maker,Office Supplies,Perrier,1787677908,547.5842952728271
Heater,Home Supplies,Perrier,1672861485,640.5836939811707
Humidifier,Office Supplies,Perrier,1803943802,456.0849070549011
Gaming Console,Home Appliances,Perrier,1999737902,295.14092206954956
Pen,Office Supplies,Perrier,1044516312,361.9024157524109
Pencil,Office Supplies,Perrier,1013913932,780.4707288742065
Notepad,Food,Perrier,1600357925,176.39422416687012
Sticky Notes,Personal Gadget,Perrier,1688252980,989.0335202217102
Calendar,Personal Gadget,Perrier,1751020502,736.7245554924011
Planner,Personal Gadget,Perrier,1771254250,873.910665512085
Highlighter,Home Supplies,Perrier,1701688562,550.6518483161926
Sharpener,Home Appliances,Perrier,1622601696,897.9092836380005
Notebook,Office Supplies,Perrier,1920034006,800.1222014427185
Journal,Office Supplies,Perrier,1889975817,172.12152481079102
Diary,Personal Gadget,Perrier,1533539642,458.61440896987915
Printer,Food,Perrier,1178988635,208.40197801589966
Trashcan,Food,Perrier,1992917263,720.0318574905396
Chair,Food,Perrier,1208924869,914.9287939071655
Tape,Personal Gadget,Perrier,1503545081,963.6917114257812
Eraser,Office Supplies,Perrier,1583757043,759.3505382537842
Iphone X,Food,Red Bull,1755142941,554.8701286315918
Ipad Pro,Home Supplies,Red Bull,1710371135,657.0674180984497
Macbook Pro,Home Supplies,Red Bull,1061480733,845.8108305931091
XPS 13,Food,Red Bull,1299446915,563.1415247917175
Noise Cancelling Series 2,Office Supplies,Red Bull,1868691057,568.6004757881165
Inspiron,Office Supplies,Red Bull,1539958611,358.5042357444763
Macbook Air,Home Supplies,Red Bull,1555268355,247.49094247817993
Chips,Food,Red Bull,1462398301,30.966997146606445
Milk,Personal Gadget,Red Bull,1772250254,480.863094329834
Yoghurt,Home Supplies,Red Bull,1230804402,418.6200499534607
Cheese,Home Supplies,Red Bull,1142178861,706.9607973098755
Chicken Breast,Food,Red Bull,1427350130,670.2174544334412
Frozen Pizza,Personal Gadget,Red Bull,1724646727,955.7880759239197
Bagels,Home Appliances,Red Bull,1629091090,799.9122738838196
Bread,Office Supplies,Red Bull,1179582318,763.2883787155151
Cookies,Personal Gadget,Red Bull,1303586660,191.1730170249939
Sparkling Water,Home Appliances,Red Bull,1322585892,872.367799282074
Energy Drink,Office Supplies,Red Bull,1863223556,8.948922157287598
Soda,Office Supplies,Red Bull,1715880552,135.8708143234253
Root Beer,Food,Red Bull,1477535001,285.3536605834961
Juice,Personal Gadget,Red Bull,1910706241,564.7749900817871
Toilet Paper,Personal Gadget,Red Bull,1324599010,980.6245565414429
Tooth Brush,Personal Gadget,Red Bull,1929797060,204.2675018310547
Mouthwash,Home Supplies,Red Bull,1508319088,819.3325996398926
Toothpaste,Home Appliances,Red Bull,1920108397,272.7680206298828
Soap,Home Supplies,Red Bull,1035264415,846.3396430015564
Shampoo,Home Supplies,Red Bull,1624988900,144.2432999610901
Shower Gel,Home Supplies,Red Bull,1455626395,825.5133628845215
Dish Soap,Office Supplies,Red Bull,1320937090,500.3349781036377
Towels,Personal Gadget,Red Bull,1966212674,157.54586458206177
Cutlery,Home Appliances,Red Bull,1176983276,612.017571926117
Sanitizer,Home Supplies,Red Bull,1653346012,465.31641483306885
Laundry Detergent,Home Supplies,Red Bull,1055257233,844.9843525886536
Fabric Softener,Office Supplies,Red Bull,1839795474,383.1672668457031
Dishwasher,Office Supplies,Red Bull,1650731286,311.10304594039917
Refrigerator,Personal Gadget,Red Bull,1177787706,90.4155969619751
TV,Office Supplies,Red Bull,1528379847,130.59896230697632
Sound System,Home Supplies,Red Bull,1700706940,402.732253074646
Microwave,Home Supplies,Red Bull,1159610049,124.74572658538818
Oven,Office Supplies,Red Bull,1775893467,634.1108679771423
Electric Kettle,Home Supplies,Red Bull,1979957275,353.5269498825073
Coffee Maker,Home Supplies,Red Bull,1072219047,276.6163945198059
Heater,Home Appliances,Red Bull,1920493702,751.8647313117981
Humidifier,Office Supplies,Red Bull,1816704233,827.6189565658569
Gaming Console,Office Supplies,Red Bull,1830581354,34.5921516418457
Pen,Food,Red Bull,1827826511,790.6210422515869
Pencil,Home Appliances,Red Bull,1874552335,945.5203413963318
Notepad,Food,Red Bull,1908446611,155.00879287719727
Sticky Notes,Personal Gadget,Red Bull,1905282242,58.96276235580444
Calendar,Home Appliances,Red Bull,1003184740,144.17928457260132
Planner,Home Supplies,Red Bull,1189727880,520.322859287262
Highlighter,Home Supplies,Red Bull,1183955535,35.70312261581421
Sharpener,Personal Gadget,Red Bull,1772239721,981.3267588615417
Notebook,Food,Red Bull,1649201982,679.8043847084045
Journal,Home Appliances,Red Bull,1438374112,268.8278555870056
Diary,Food,Red Bull,1898750311,454.9148678779602
Printer,Office Supplies,Red Bull,1303182806,75.57868957519531
Trashcan,Personal Gadget,Red Bull,1484372165,735.9627485275269
Chair,Home Supplies,Red Bull,1752337375,806.8452477455139
Tape,Food,Red Bull,1908933478,150.0798463821411
Eraser,Office Supplies,Red Bull,1961367410,116.23114347457886
Iphone X,Home Supplies,Monster,1542912887,546.3775396347046
Ipad Pro,Home Appliances,Monster,1797794006,153.72347831726074
Macbook Pro,Home Supplies,Monster,1800183258,505.29515743255615
XPS 13,Home Supplies,Monster,1253686177,993.0220246315002
Noise Cancelling Series 2,Food,Monster,1234998343,605.835497379303
Inspiron,Food,Monster,1983448857,546.0516810417175
Macbook Air,Home Supplies,Monster,1924461627,505.96487522125244
Chips,Food,Monster,1245378555,780.6962728500366
Milk,Personal Gadget,Monster,1236353984,75.89316368103027
Yoghurt,Office Supplies,Monster,1918238948,581.8575024604797
Cheese,Home Appliances,Monster,1367662098,462.30369806289673
Chicken Breast,Home Appliances,Monster,1028972903,812.6986622810364
Frozen Pizza,Food,Monster,1406706841,613.4470701217651
Bagels,Food,Monster,1768474987,297.258198261261
Bread,Home Appliances,Monster,1919272767,723.0411767959595
Cookies,Office Supplies,Monster,1563507028,640.5217051506042
Sparkling Water,Home Supplies,Monster,1500060876,470.95268964767456
Energy Drink,Personal Gadget,Monster,1829392707,188.65841627120972
Soda,Food,Monster,1444231273,269.6160674095154
Root Beer,Home Supplies,Monster,1355737392,499.71139430999756
Juice,Food,Monster,1774494237,839.1495943069458
Toilet Paper,Home Appliances,Monster,1322375056,510.9689235687256
Tooth Brush,Food,Monster,1667500556,906.3459634780884
Mouthwash,Personal Gadget,Monster,1041961016,49.04085397720337
Toothpaste,Home Supplies,Monster,1735151517,181.4662218093872
Soap,Home Supplies,Monster,1156645170,405.9538245201111
Shampoo,Food,Monster,1273495428,743.5017228126526
Shower Gel,Home Appliances,Monster,1047238580,701.1185884475708
Dish Soap,Home Appliances,Monster,1151330486,743.8536882400513
Towels,Personal Gadget,Monster,1153019463,544.6969270706177
Cutlery,Home Supplies,Monster,1395341511,807.91175365448
Sanitizer,Home Supplies,Monster,1148221058,820.7088112831116
Laundry Detergent,Home Supplies,Monster,1177039669,514.6121978759766
Fabric Softener,Food,Monster,1017348750,4.310846328735352
Dishwasher,Food,Monster,1023050152,909.6670150756836
Refrigerator,Personal Gadget,Monster,1946446465,431.2952160835266
TV,Home Appliances,Monster,1874129503,655.8495759963989
Sound System,Home Supplies,Monster,1172564715,41.39423370361328
Microwave,Food,Monster,1595043658,343.69295835494995
Oven,Home Appliances,Monster,1970887017,840.93177318573
Electric Kettle,Office Supplies,Monster,1688076464,831.5277695655823
Coffee Maker,Personal Gadget,Monster,1410788287,273.37682247161865
Heater,Home Appliances,Monster,1054067652,611.3985180854797
Humidifier,Office Supplies,Monster,1371691384,775.177001953125
Gaming Console,Office Supplies,Monster,1458725935,916.624903678894
Pen,Office Supplies,Monster,1210744714,533.7734222412109
Pencil,Home Supplies,Monster,1946378171,110.30977964401245
Notepad,Home Appliances,Monster,1941480872,187.9211664199829
Sticky Notes,Office Supplies,Monster,1361776539,287.7618074417114
Calendar,Personal Gadget,Monster,1480770475,328.50182056427
Planner,Personal Gadget,Monster,1722193337,658.5395336151123
Highlighter,Office Supplies,Monster,1506221787,910.1691842079163
Sharpener,Office Supplies,Monster,1771514643,267.7101492881775
Notebook,Office Supplies,Monster,1433984839,387.8015875816345
Journal,Home Supplies,Monster,1255750167,796.1398959159851
Diary,Home Supplies,Monster,1564611279,692.3525929450989
Printer,Home Appliances,Monster,1411284925,324.5210647583008
Trashcan,Office Supplies,Monster,1279739165,281.9242477416992
Chair,Food,Monster,1744909821,36.83042526245117
Tape,Home Appliances,Monster,1423077045,997.5010752677917
Eraser,Personal Gadget,Monster,1315408991,310.58359146118164
Iphone X,Home Appliances,Pepsi,1424245119,448.6476182937622
Ipad Pro,Personal Gadget,Pepsi,1573104783,631.2896609306335
Macbook Pro,Home Appliances,Pepsi,1972906071,110.61102151870728
XPS 13,Home Appliances,Pepsi,1064740797,367.74104833602905
Noise Cancelling Series 2,Office Supplies,Pepsi,1913322865,266.8003439903259
Inspiron,Food,Pepsi,1420524313,947.1431970596313
Macbook Air,Food,Pepsi,1686681349,743.8077330589294
Chips,Personal Gadget,Pepsi,1477774210,121.66601419448853
Milk,Personal Gadget,Pepsi,1921498596,2.364635467529297
Yoghurt,Food,Pepsi,1896785028,270.9759473800659
Cheese,Home Supplies,Pepsi,1373119278,337.4043107032776
Chicken Breast,Home Appliances,Pepsi,1440194495,442.0127272605896
Frozen Pizza,Home Supplies,Pepsi,1194220562,552.3595213890076
Bagels,Home Appliances,Pepsi,1233935896,694.1434144973755
Bread,Home Supplies,Pepsi,1722565273,683.7197542190552
Cookies,Office Supplies,Pepsi,1837992143,354.43753004074097
Sparkling Water,Food,Pepsi,1483751170,916.5882468223572
Energy Drink,Home Appliances,Pepsi,1126497609,756.8499445915222
Soda,Home Supplies,Pepsi,1699818470,333.52482318878174
Root Beer,Food,Pepsi,1622734063,656.3971638679504
Juice,Personal Gadget,Pepsi,1184332218,238.4665608406067
Toilet Paper,Office Supplies,Pepsi,1634338859,693.9088702201843
Tooth Brush,Home Appliances,Pepsi,1396620712,484.2429757118225
Mouthwash,Home Appliances,Pepsi,1882313604,410.7067584991455
Toothpaste,Food,Pepsi,1568509257,73.53270053863525
Soap,Office Supplies,Pepsi,1174542684,450.79392194747925
Shampoo,Food,Pepsi,1043059197,694.5419907569885
Shower Gel,Home Appliances,Pepsi,1416477487,769.157350063324
Dish Soap,Home Appliances,Pepsi,1254040065,267.87102222442627
Towels,Home Appliances,Pepsi,1020018184,120.03713846206665
Cutlery,Home Appliances,Pepsi,1495296040,821.7084407806396
Sanitizer,Food,Pepsi,1723654522,513.0646824836731
Laundry Detergent,Personal Gadget,Pepsi,1789601393,458.564817905426
Fabric Softener,Office Supplies,Pepsi,1395464276,85.72268486022949
Dishwasher,Home Appliances,Pepsi,1666452222,36.2057089805603
Refrigerator,Food,Pepsi,1494086859,288.4411811828613
TV,Home Supplies,Pepsi,1537547144,744.426965713501
Sound System,Home Appliances,Pepsi,1215393719,957.7735066413879
Microwave,Home Supplies,Pepsi,1048137278,632.074773311615
Oven,Home Appliances,Pepsi,1673992207,760.5530023574829
Electric Kettle,Personal Gadget,Pepsi,1353260165,517.6388025283813
Coffee Maker,Office Supplies,Pepsi,1744277201,327.92025804519653
Heater,Personal Gadget,Pepsi,1682030310,622.3427057266235
Humidifier,Office Supplies,Pepsi,1916460779,815.9440755844116
Gaming Console,Food,Pepsi,1913179122,795.5623269081116
Pen,Personal Gadget,Pepsi,1975468998,485.68981885910034
Pencil,Personal Gadget,Pepsi,1684081876,785.3640913963318
Notepad,Personal Gadget,Pepsi,1767018092,499.5800256729126
Sticky Notes,Personal Gadget,Pepsi,1927370548,646.8710899353027
Calendar,Food,Pepsi,1323426937,495.44399976730347
Planner,Personal Gadget,Pepsi,1698320394,911.0268354415894
Highlighter,Food,Pepsi,1245261301,590.5848145484924
Sharpener,Personal Gadget,Pepsi,1887555804,467.28038787841797
Notebook,Personal Gadget,Pepsi,1302841290,454.446017742157
Journal,Personal Gadget,Pepsi,1462910897,485.0117564201355
Diary,Food,Pepsi,1578702767,592.1134352684021
Printer,Personal Gadget,Pepsi,1447791073,927.5385141372681
Trashcan,Food,Pepsi,1228638684,327.12626457214355
Chair,Food,Pepsi,1008027619,944.8043704032898
Tape,Office Supplies,Pepsi,1720931550,439.2240643501282
Eraser,Office Supplies,Pepsi,1012538460,389.97429609298706
Iphone X,Home Supplies,Coca Cola,1612428639,482.16521739959717
Ipad Pro,Home Supplies,Coca Cola,1873266546,942.9126381874084
Macbook Pro,Home Appliances,Coca Cola,1943430204,413.18315267562866
XPS 13,Office Supplies,Coca Cola,1615654019,469.779372215271
Noise Cancelling Series 2,Personal Gadget,Coca Cola,1853811797,946.7058777809143
Inspiron,Home Appliances,Coca Cola,1131737561,760.7559561729431
Macbook Air,Office Supplies,Coca Cola,1228860247,591.4584398269653
Chips,Home Supplies,Coca Cola,1713859350,203.33540439605713
Milk,Home Appliances,Coca Cola,1029070776,435.954213142395
Yoghurt,Home Appliances,Coca Cola,1938640476,130.94395399093628
Cheese,Office Supplies,Coca Cola,1413356857,659.7235202789307
Chicken Breast,Office Supplies,Coca Cola,1089550690,978.2799482345581
Frozen Pizza,Food,Coca Cola,1065115889,416.62031412124634
Bagels,Food,Coca Cola,1784042573,246.1761236190796
Bread,Food,Coca Cola,1026349577,65.51945209503174
Cookies,Personal Gadget,Coca Cola,1660339648,978.6378145217896
Sparkling Water,Food,Coca Cola,1353159548,819.0999627113342
Energy Drink,Food,Coca Cola,1622739916,659.7467660903931
Soda,Home Supplies,Coca Cola,1558652228,302.78778076171875
Root Beer,Home Appliances,Coca Cola,1626508499,403.2265543937683
Juice,Personal Gadget,Coca Cola,1904444874,525.989294052124
Toilet Paper,Home Supplies,Coca Cola,1578498830,115.65160751342773
Tooth Brush,Office Supplies,Coca Cola,1453042450,582.3108553886414
Mouthwash,Home Supplies,Coca Cola,1052601790,126.67876482009888
Toothpaste,Personal Gadget,Coca Cola,1479455508,433.47346782684326
Soap,Home Supplies,Coca Cola,1975637161,85.54661273956299
Shampoo,Food,Coca Cola,1456276913,265.16515016555786
Shower Gel,Personal Gadget,Coca Cola,1675665445,789.8054122924805
Dish Soap,Food,Coca Cola,1732385103,707.3220014572144
Towels,Office Supplies,Coca Cola,1037820184,935.3200793266296
Cutlery,Personal Gadget,Coca Cola,1097465559,214.61337804794312
Sanitizer,Office Supplies,Coca Cola,1460183036,529.6580195426941
Laundry Detergent,Office Supplies,Coca Cola,1304246764,836.6727828979492
Fabric Softener,Food,Coca Cola,1712109179,195.79541683197021
Dishwasher,Personal Gadget,Coca Cola,1964954595,656.4318537712097
Refrigerator,Office Supplies,Coca Cola,1178548907,689.5309090614319
TV,Office Supplies,Coca Cola,1970853990,226.47839784622192
Sound System,Home Appliances,Coca Cola,1725715020,370.09018659591675
Microwave,Home Appliances,Coca Cola,1142344242,228.48987579345703
Oven,Office Supplies,Coca Cola,1085955823,885.2754235267639
Electric Kettle,Personal Gadget,Coca Cola,1406006417,363.43592405319214
Coffee Maker,Food,Coca Cola,1163573457,74.41508769989014
Heater,Personal Gadget,Coca Cola,1633994135,647.4677920341492
Humidifier,Home Appliances,Coca Cola,1579864560,746.6837763786316
Gaming Console,Food,Coca Cola,1855565237,40.41647911071777
Pen,Office Supplies,Coca Cola,1566772431,79.60402965545654
Pencil,Office Supplies,Coca Cola,1861345814,823.921263217926
Notepad,Home Supplies,Coca Cola,1586761778,501.3299584388733
Sticky Notes,Home Supplies,Coca Cola,1034704626,730.8547496795654
Calendar,Office Supplies,Coca Cola,1795026097,997.4244832992554
Planner,Home Appliances,Coca Cola,1343617956,316.46937131881714
Highlighter,Personal Gadget,Coca Cola,1302701643,323.14056158065796
Sharpener,Food,Coca Cola,1858477024,967.2560691833496
Notebook,Home Supplies,Coca Cola,1670804088,938.7242794036865
Journal,Home Appliances,Coca Cola,1489907157,731.7042946815491
Diary,Home Supplies,Coca Cola,1829165156,29.099643230438232
Printer,Home Supplies,Coca Cola,1194931928,496.9218373298645
Trashcan,Office Supplies,Coca Cola,1728388847,459.7311019897461
Chair,Office Supplies,Coca Cola,1024453007,48.49064350128174
Tape,Personal Gadget,Coca Cola,1192061345,274.87480640411377
Eraser,Home Appliances,Coca Cola,1690379252,63.191115856170654
Iphone X,Office Supplies,A & W,1228047743,508.3255171775818
Ipad Pro,Office Supplies,A & W,1942803164,873.6434578895569
Macbook Pro,Personal Gadget,A & W,1209232256,873.7850785255432
XPS 13,Food,A & W,1857989676,891.9406533241272
Noise Cancelling Series 2,Home Supplies,A & W,1963670801,883.8685154914856
Inspiron,Office Supplies,A & W,1053840679,320.54316997528076
Macbook Air,Home Supplies,A & W,1680613858,243.41297149658203
Chips,Personal Gadget,A & W,1043776400,350.7809042930603
Milk,Food,A & W,1291638915,932.1726560592651
Yoghurt,Home Appliances,A & W,1101112091,543.0670380592346
Cheese,Food,A & W,1415242996,270.297110080719
Chicken Breast,Home Supplies,A & W,1588104047,792.3312783241272
Frozen Pizza,Food,A & W,1239351540,811.460554599762
Bagels,Personal Gadget,A & W,1176621734,954.2863368988037
Bread,Home Supplies,A & W,1680590790,75.52391290664673
Cookies,Office Supplies,A & W,1486221783,293.1526303291321
Sparkling Water,Home Supplies,A & W,1513756880,685.6669783592224
Energy Drink,Office Supplies,A & W,1641234128,812.6992583274841
Soda,Home Appliances,A & W,1762240687,262.6694440841675
Root Beer,Home Supplies,A & W,1117919879,856.3618063926697
Juice,Home Supplies,A & W,1723391574,628.1942129135132
Toilet Paper,Personal Gadget,A & W,1048052587,168.33925247192383
Tooth Brush,Home Supplies,A & W,1455719222,234.42566394805908
Mouthwash,Personal Gadget,A & W,1164259907,658.6451530456543
Toothpaste,Home Supplies,A & W,1151851186,852.2408604621887
Soap,Food,A & W,1628619501,126.91974639892578
Shampoo,Home Supplies,A & W,1477326707,75.37883520126343
Shower Gel,Home Supplies,A & W,1658430547,91.33774042129517
Dish Soap,Home Supplies,A & W,1976276473,123.08180332183838
Towels,Home Appliances,A & W,1746509209,12.245476245880127
Cutlery,Home Supplies,A & W,1977103283,315.78880548477173
Sanitizer,Office Supplies,A & W,1228132935,670.426070690155
Laundry Detergent,Home Supplies,A & W,1911355013,853.1827926635742
Fabric Softener,Home Supplies,A & W,1348862257,285.441517829895
Dishwasher,Personal Gadget,A & W,1564605888,614.8527264595032
Refrigerator,Personal Gadget,A & W,1978500080,371.7799782752991
